Nome do Arquivo;Diretório;Tipo;Tamanho (bytes);Data Criação;Última Modificação;Caminho Completo
.coverage;;Outro;53248;2025-02-24 07:51:31;2025-02-22 09:48:51;.coverage
.env.dev;;Outro;638;2025-02-13 17:14:04;2025-02-15 07:58:42;.env.dev
.env.prod;;Outro;811;2025-02-13 17:14:38;2025-02-15 07:53:39;.env.prod
.gitignore;;Outro;664;2025-01-15 08:04:05;2025-02-14 09:33:39;.gitignore
LICENSE;;Outro;2219;2025-02-17 09:23:25;2025-02-17 09:23:25;LICENSE
README.md;;Markdown;5480;2025-02-17 09:23:25;2025-02-17 09:23:25;README.md
check_sendgrid_config.py;;Python;1449;2025-02-15 08:19:05;2025-02-15 08:19:18;check_sendgrid_config.py
core_book.csv;;Outro;89800;2025-02-24 07:51:11;2025-02-21 08:42:35;core_book.csv
core_userbookshelf.csv;;Outro;2760;2025-02-24 07:51:11;2025-02-21 08:37:58;core_userbookshelf.csv
listar_tabelas.py;;Python;6377;2025-02-02 06:56:49;2025-02-02 07:57:52;listar_tabelas.py
manage.py;;Python;599;2025-01-14 10:50:25;2025-01-15 08:22:25;manage.py
pytest.ini;;Outro;130;2025-02-24 07:51:26;2025-02-23 09:16:46;pytest.ini
requirements.txt;;Texto;545;2025-01-14 15:20:30;2025-02-02 08:09:24;requirements.txt
sendgrid_email_test.py;;Python;3391;2025-02-13 17:58:13;2025-02-14 09:45:34;sendgrid_email_test.py
test_env.py;;Python;2863;2025-02-13 17:37:24;2025-02-13 17:46:23;test_env.py
test_sendgrid.py;;Python;1886;2025-02-14 15:44:24;2025-02-15 08:18:31;test_sendgrid.py
.gitignore;.idea;Outro;50;2025-01-14 10:47:18;2025-01-14 10:47:18;.idea\.gitignore
bookstore.iml;.idea;Outro;408;2025-01-14 10:47:18;2025-02-24 07:59:42;.idea\bookstore.iml
misc.xml;.idea;Outro;308;2025-01-14 11:06:20;2025-02-24 07:59:42;.idea\misc.xml
modules.xml;.idea;Outro;277;2025-01-14 10:47:18;2025-01-14 10:47:18;.idea\modules.xml
vcs.xml;.idea;Outro;185;2025-01-15 08:22:50;2025-01-15 08:22:50;.idea\vcs.xml
workspace.xml;.idea;Outro;18786;2025-01-14 10:53:46;2025-02-24 15:13:47;.idea\workspace.xml
Project_Default.xml;.idea\inspectionProfiles;Outro;3438;2025-01-14 10:47:17;2025-01-14 10:47:17;.idea\inspectionProfiles\Project_Default.xml
profiles_settings.xml;.idea\inspectionProfiles;Outro;174;2025-01-14 10:47:18;2025-01-14 10:47:18;.idea\inspectionProfiles\profiles_settings.xml
.gitignore;.pytest_cache;Outro;39;2025-02-24 07:51:31;2025-02-22 09:13:15;.pytest_cache\.gitignore
CACHEDIR.TAG;.pytest_cache;Outro;191;2025-02-24 07:51:31;2025-02-22 09:13:15;.pytest_cache\CACHEDIR.TAG
README.md;.pytest_cache;Markdown;310;2025-02-24 07:51:31;2025-02-22 09:13:15;.pytest_cache\README.md
lastfailed;.pytest_cache\v\cache;Outro;1548;2025-02-24 07:51:31;2025-02-23 11:12:39;.pytest_cache\v\cache\lastfailed
nodeids;.pytest_cache\v\cache;Outro;8102;2025-02-24 07:51:33;2025-02-23 11:21:59;.pytest_cache\v\cache\nodeids
stepwise;.pytest_cache\v\cache;Outro;2;2025-02-24 07:51:33;2025-02-23 11:21:59;.pytest_cache\v\cache\stepwise
__init__.py;cgbookstore;Python;0;2025-01-14 11:05:01;2025-01-14 11:05:01;cgbookstore\__init__.py
db.sqlite3;cgbookstore;Outro;1732608;2025-01-16 16:47:49;2025-02-24 15:13:52;cgbookstore\db.sqlite3
debug.log;cgbookstore;Outro;0;2025-02-13 16:38:56;2025-02-13 16:38:56;cgbookstore\debug.log
__init__.py;cgbookstore\apps;Python;0;2025-01-14 11:04:53;2025-01-14 11:04:53;cgbookstore\apps\__init__.py
__init__.py;cgbookstore\apps\core;Python;0;2025-01-14 10:52:45;2025-01-14 10:52:45;cgbookstore\apps\core\__init__.py
admin.py;cgbookstore\apps\core;Python;25408;2025-01-14 10:52:45;2025-02-11 11:21:18;cgbookstore\apps\core\admin.py
apps.py;cgbookstore\apps\core;Python;1127;2025-01-14 10:52:45;2025-02-05 16:04:49;cgbookstore\apps\core\apps.py
